,Name,Sector,City,Address,Phone,Email,Lat-Long
5118,"College of Education, Saswad",College,Pvt,,,,
5119,TechnoCorp,College,Pune,"301, Kamala Arcade, 310, Kamla Arcade, Shivajinagar, Jangali Maharaj Rd, Deccan, Jangali Maharaj Rd, Shivajinagar, Pune, Maharashtra 411004",,,"18.522688,73.8452001"
5120,Orion Edutech Pune - Satara Road,College,Pune,,,,
5121,Rahul Shikshan Prasarak Mandals Satyagraha Mahavidyalaya,College,Mumbai,"Plot No 52, Supparak Bhavan, Sector 19, Kharghar, Navi Mumbai, Maharashtra 410210",,,"19.0485414,73.0744977"
5122,Shanmukhananda Fine Arts and Sangeetha Sabha Bachelor of Fine Arts (Music) College,College,Mumbai,"292, Com. Harbanslal Marg, Sion East, Mumbai, Maharashtra 400022",,,"19.0311468,72.8570881"
5123,Raireshwar Dongari Vikas Parishad's Adhyapak Mahavidyalaya,College,Pune,"FV84+43W, Opp. Dhankawadi Post Office, Pune-Satara Road, Dhandawadi, Pune, Maharashtra 411043",,,"18.4653696,73.8526344"
5124,Lt. K. G. Kataria College of Arts and Science,College,Mumbai,"FH8M+C7C, Ambedkar Chowk, Daund, Maharashtra 413801",,,"18.4660505,74.5805745"
5125,Vidyabhavan College of Commerce,College,Pune,"20, Solapur Rd, Bhairoba Nala, Jambhulkar Mala, Wanowrie, Pune, Maharashtra 411013",,,"18.5072402,73.8979963"
5126,"College of Education, Haveli",College,,,,,
5127,S.N.B.P. Group of Institutions,College,Pune,,,,
5128,Alard College of Business Studies,College,Pune,"ALARD Knowledge Park, Survey No. 50, Building No. 3 Hinjawadi Marunje, near Rajiv Gandhi IT Park, Pune, Maharashtra 411057",,,"18.6087242,73.7166701"
5129,Dnyan Kala Krida and Krushi Pratishthan Maharashtra Institute Of Management,College,Pvt,"2QH7+H2F, Kalamb - Chikhali Rd, Kalamb, Maharashtra 413104",,,"18.0289494,74.7599743"
5130,Wings Airline Academy,College,Mumbai,"3VH8+429, Arvind Nagar, Kalina, Santacruz East, Mumbai, Maharashtra 400098",,,"19.077794,72.8625401"
5131,Impact IT Labs (Impact Information Technology Labs),College,Pune,"2nd Floor, Gandhi Chowk, Hadapsar, above Bharati Bazar, Pune, Maharashtra 411028",,,"18.500701,73.9309231"
5132,TCIL-IT Education and Training,College,Pune,,,,
5133,"Faculty of Engineering, Rajuris Samarth Group of Institutions",College,Pune,,,,
5134,Aspire Technology,College,Pvt,,,,
5135,"Government Urdu Junior College of Education, Pune",College,Pune,"K.B, Hidayatullah road, New Modikhana, Azam Campus, Pune, Maharashtra 411001",,,"18.5031465,73.8734939"
5136,Topper Skills,College,Pune,"101, Avnish Regency, near Navale bridge, Narhe, Pune, Maharashtra 411041",,,"18.46103,73.8185551"
5137,Adhyayan IT Solutions,College,Pune,"8-9, Warje Malwadi Rd, Pandurang Colony, Erandwane Pandurang Colony, Erandwane Pune, Maharashtra 411004",,,"18.5084407,73.8284833"
5138,Studio Incubator,College,Pune,"101, Anushree apartment, opposite MJM Hospital Lane,, Above hotel Namaskar, Ghole Road, Shivajinagar, Pune, Maharashtra 411005",,,"18.523838,73.8411985"
5139,Vishal Junnar Seva Mandal's Institute of Pharmacy for Women,College,Pune,"Ale, National Highway 222, Pune, Maharashtra 412411",,,"19.1809297,74.1118494"
